candidate_id,detector_id,policy_id,engine,onset_cycle,max_cycle,first_detection_end_cycle,detected,missed,false_event_count,healthy_false_alert,crossing_event_count,total_event_count,first_alert_delay,lead_cycles
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,218,190,237,207.0,True,False,0,False,0,1,17.0,30.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,227,148,184,176.0,True,False,0,False,0,1,28.0,8.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,236,192,239,221.0,True,False,0,False,0,1,29.0,18.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,239,211,263,248.0,True,False,0,False,0,1,37.0,15.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,253,120,149,146.0,True,False,0,False,0,1,26.0,3.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,255,273,340,308.0,True,False,0,False,0,1,35.0,32.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,256,131,163,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_20pct_endpoint,259,165,205,200.0,True,False,0,False,0,1,35.0,5.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,5,108,154,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,7,122,174,148.0,True,False,0,False,0,1,26.0,26.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,8,106,151,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,14,136,193,179.0,True,False,0,False,0,1,43.0,14.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,17,126,180,,False,True,0,False,0,0,,
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,24,134,191,169.0,True,False,0,False,0,1,35.0,22.0
pca_reconstruction__per_mode__quantile_0.995__ewma_alpha_0.20__persistence_8,pca_reconstruction,normalized_life_last_30pct_endpoint,26,131,187,179.0,True,False,0,False,0,1,48.0,8.0
